Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1771083,CUSHION,0.43,SI1,M,EX,EX,VG,M,4.38-4.34×2.72,683.22,https://capitalwholesalediamonds.com/product/0-43-ct-cushion/
1524552,CUSHION,0.52,VS1,S-T,EX,EX,VG,M,4.55-4.38×2.97,718.92,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-3/
1651023,CUSHION,0.5,SI1,M,EX,EX,VG,F,4.86-4.23×2.87,725.32,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-74/
1632749,CUSHION,0.5,VS2,M,VG,EX,GD,N,4.51-4.47×2.98,771.13,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-73/
1660174,CUSHION,0.5,VVS2,M,EX,EX,VG,F,4.94-4.27×2.88,772.88,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-71/
1784948,CUSHION,0.4,VS2,K,VG,EX,VG,M,4.51-3.85×2.68,795.69,https://capitalwholesalediamonds.com/product/0-4-ct-cushion-4/
1755000,CUSHION,0.34,SI1,FANCY,EX,VG,VG,M,4.03-3.88×2.67,803.43,https://capitalwholesalediamonds.com/product/0-34-ct-cushion/
1602072,CUSHION,0.59,VS2,U-V,VG,EX,GD,N,4.64-4.57×3.19,807.91,https://capitalwholesalediamonds.com/product/0-59-ct-cushion-3/
1652706,CUSHION,0.51,SI1,N,EX,EX,VG,F,4.92-4.27×2.89,816.68,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-48/
1606825,CUSHION,0.5,VVS1,L,VG,EX,VG,ST,4.72-4.23×2.95,822.17,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-69/
1639567,CUSHION,0.5,VS1,K,VG,EX,VG,F,4.70-4.24×2.93,830.89,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-65/
1619473,CUSHION,0.51,VS1,L,VG,EX,GD,N,4.69-4.32×2.95,839.64,https://capitalwholesalediamonds.com/product/0-51-ct-cushion-42/
1667158,CUSHION,0.5,VS1,M,VG,EX,VG,F,4.91-4.19×2.89,840.29,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-72/
1629722,CUSHION,0.61,SI2,Y-Z,EX,EX,FR,F,4.82-4.72×3.09,847.83,https://capitalwholesalediamonds.com/product/0-61-ct-cushion-4/
1575622,CUSHION,0.52,SI1,L,EX,EX,VG,N,5.02-4.23×2.88,869.06,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-25/
1606842,CUSHION,0.5,VS1,K,VG,EX,VG,N,5.00-4.19×2.86,871.43,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-64/
1762721,CUSHION,0.5,VS1,U-V,EX,EX,VG,N,5.12-4.31×2.54,876.27,https://capitalwholesalediamonds.com/product/0-5-ct-cushion-81/
1790076,CUSHION,0.31,SI2,FANCY,EX,VG,GD,F,4.09-3.86×2.38,891.76,https://capitalwholesalediamonds.com/product/0-31-ct-cushion/
1643532,CUSHION,0.52,VS2,L,EX,EX,VG,N,4.72-4.42×2.98,895.17,https://capitalwholesalediamonds.com/product/0-52-ct-cushion-24/
